data,ano,mes,nome_mes,trimestre,numero_pedido,sku,produto,categoria,subcategoria,unidade,cliente,segmento,porte,cidade,estado,regiao,vendedor,equipe,regional,canal,quantidade,quantidade_dev,preco_unitario,desconto_pct,receita_bruta,receita_liquida,custo_total,margem_bruta,meta_quantidade,meta_receita
2023-01-02,2023,1,January,1,PED-2023-00559,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Supermercado Econômico,Varejo,Médio,Londrina,PR,Sul,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Distribuidor,9.152,0.0,17.2918,0,158.25,158.25,60.13,98.12,9.31,153.05
2023-01-02,2023,1,January,1,PED-2023-00180,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Distribuidora Norte Ltda,Distribuidor,Médio,Belém,PA,Norte,Equipe CO,Centro-Oeste,Centro-Oeste,Direto,15.138,0.0,19.4691,0,294.72,294.72,111.99,182.73,16.988,335.66
2023-01-02,2023,1,January,1,PED-2023-04246,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sudeste,Sudeste,Sudeste,Direto,11.264,0.0,28.3641,7,319.49,297.13,143.77,153.36,12.776,301.54
2023-01-02,2023,1,January,1,PED-2023-04196,LAT-002,Iogurte Natural 170g,Laticínios,Iogurte,CX12,Distribuidora Norte Ltda,Distribuidor,Médio,Belém,PA,Norte,Equipe Sul,Sul,Sul,E-commerce,14.465,0.0,34.6962,2,501.88,491.84,291.09,200.75,13.887,540.7
2023-01-02,2023,1,January,1,PED-2023-05739,SNK-003,Biscoito Cream Cracker,Snacks,Biscoitos,CX30,Restaurantes União,Food Service,Grande,Belo Horizonte,MG,Sudeste,Equipe CO,Centro-Oeste,Centro-Oeste,Distribuidor,9.8,0.0,67.9697,10,666.1,599.49,293.08,306.41,9.845,675.29
2023-01-02,2023,1,January,1,PED-2023-00522,LAT-003,Queijo Mussarela KG,Laticínios,Queijos,UN,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Televendas,7.114,0.0,33.6474,2,239.37,234.58,148.41,86.17,8.006,223.05
2023-01-02,2023,1,January,1,PED-2023-07904,SNK-001,Batata Chips 100g,Snacks,Salgados,CX24,Atacadão Centro-Oeste,Atacado,Grande,Goiânia,GO,Centro-Oeste,Equipe Sudeste,Sudeste,Sudeste,Direto,5.884,0.0,74.9977,5,441.29,419.23,211.82,207.41,6.222,478.21
2023-01-03,2023,1,January,1,PED-2023-00303,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Mercearia São João,Varejo,Pequeno,Florianópolis,SC,Sul,Equipe Sudeste,Sudeste,Sudeste,E-commerce,28.203,0.0,43.7807,0,1234.75,1234.75,642.07,592.68,30.909,1282.36
2023-01-03,2023,1,January,1,PED-2023-01147,BEV-004,Isotônico Limão 500ml,Bebidas,Funcionais,CX12,Rede Hiper Sul,Varejo,Grande,Porto Alegre,RS,Sul,Equipe Sul,Sul,Sul,Direto,10.789,0.0,53.4665,3,576.85,559.54,288.43,271.11,11.638,634.76
2023-01-03,2023,1,January,1,PED-2023-01457,LAT-002,Iogurte Natural 170g,Laticínios,Iogurte,CX12,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Distribuidor,5.306,0.0,32.3641,3,171.72,166.57,99.6,66.97,5.435,155.53
2023-01-03,2023,1,January,1,PED-2023-03620,BEV-004,Isotônico Limão 500ml,Bebidas,Funcionais,CX12,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Direto,9.299,0.0,55.4062,3,515.22,499.76,257.61,242.15,8.825,480.83
2023-01-03,2023,1,January,1,PED-2023-05073,SNK-001,Batata Chips 100g,Snacks,Salgados,CX24,Rede Hiper Sul,Varejo,Grande,Porto Alegre,RS,Sul,Equipe Sudeste,Sudeste,Sudeste,Direto,1.907,0.0,72.7995,2,138.83,136.05,66.64,69.41,2.005,138.31
2023-01-03,2023,1,January,1,PED-2023-03893,LAT-001,Leite Integral UHT 1L,Laticínios,Leite,CX12,Distribuidora Alfa,Distribuidor,Grande,Campinas,SP,Sudeste,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Direto,14.41,0.0,39.881,0,574.68,574.68,373.54,201.14,12.989,536.95
2023-01-03,2023,1,January,1,PED-2023-04889,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sul,Sul,Sul,Televendas,18.94,0.0,29.3156,0,555.24,555.24,249.86,305.38,19.085,513.02
2023-01-03,2023,1,January,1,PED-2023-00979,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sul,Sul,Sul,Televendas,6.857,0.0,21.7404,2,149.07,146.09,81.99,64.1,7.863,133.52
2023-01-04,2023,1,January,1,PED-2023-00421,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Distribuidora Norte Ltda,Distribuidor,Médio,Belém,PA,Norte,Equipe Sudeste,Sudeste,Sudeste,Distribuidor,10.358,0.0,18.2684,2,189.22,185.44,71.9,113.54,10.277,184.04
2023-01-04,2023,1,January,1,PED-2023-07914,PAD-001,Macarrão Espaguete 500g,Padaria/Massas,Massas,CX20,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sul,Sul,Sul,Direto,15.741,0.0,45.3018,5,713.1,677.44,342.29,335.15,14.582,720.51
2023-01-04,2023,1,January,1,PED-2023-02813,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sul,Sul,Sul,Direto,16.485,0.0,29.2632,7,482.4,448.63,217.08,231.55,16.884,455.57
2023-01-04,2023,1,January,1,PED-2023-07087,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Televendas,2.197,0.0,41.2198,7,90.56,84.22,47.09,37.13,2.395,84.24
2023-01-04,2023,1,January,1,PED-2023-04354,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Supermercado Econômico,Varejo,Médio,Londrina,PR,Sul,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Distribuidor,9.363,0.0,18.1679,5,170.11,161.6,64.64,96.96,8.519,183.67
2023-01-04,2023,1,January,1,PED-2023-02773,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sul,Sul,Sul,Televendas,18.273,0.0,27.5282,3,503.02,487.93,226.36,261.57,19.972,515.07
2023-01-04,2023,1,January,1,PED-2023-00163,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Atacadão Centro-Oeste,Atacado,Grande,Goiânia,GO,Centro-Oeste,Equipe Sul,Sul,Sul,E-commerce,13.4,0.0,27.3584,3,366.6,355.6,164.97,190.63,12.174,382.04
2023-01-04,2023,1,January,1,PED-2023-07924,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Distribuidora Alfa,Distribuidor,Grande,Campinas,SP,Sudeste,Equipe Sul,Sul,Sul,Distribuidor,7.096,0.0,24.0838,5,170.9,162.35,94.0,68.35,7.629,155.48
2023-01-05,2023,1,January,1,PED-2023-05504,LAT-003,Queijo Mussarela KG,Laticínios,Queijos,UN,Food Service Express,Food Service,Médio,Rio de Janeiro,RJ,Sudeste,Equipe CO,Centro-Oeste,Centro-Oeste,Televendas,4.433,0.0,35.6471,5,158.02,150.12,97.97,52.15,4.133,166.85
2023-01-05,2023,1,January,1,PED-2023-07337,LAT-002,Iogurte Natural 170g,Laticínios,Iogurte,CX12,Makro Sudeste,Atacado,Grande,São Paulo,SP,Sudeste,Equipe Sul,Sul,Sul,Direto,6.949,0.0,35.0454,3,243.53,236.22,141.25,94.97,6.828,245.88
2023-01-05,2023,1,January,1,PED-2023-04746,SNK-003,Biscoito Cream Cracker,Snacks,Biscoitos,CX30,Restaurantes União,Food Service,Grande,Belo Horizonte,MG,Sudeste,Equipe Sudeste,Sudeste,Sudeste,E-commerce,8.185,0.0,67.4945,5,552.44,524.82,243.07,281.75,9.396,502.19
2023-01-05,2023,1,January,1,PED-2023-03421,BEV-004,Isotônico Limão 500ml,Bebidas,Funcionais,CX12,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe CO,Centro-Oeste,Centro-Oeste,Distribuidor,3.28,0.0,59.7136,0,195.86,195.86,97.93,97.93,3.261,219.39
2023-01-05,2023,1,January,1,PED-2023-04775,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Makro Sudeste,Atacado,Grande,São Paulo,SP,Sudeste,Equipe CO,Centro-Oeste,Centro-Oeste,Televendas,14.221,0.0,45.7322,3,650.36,630.85,338.19,292.66,14.222,711.48
2023-01-05,2023,1,January,1,PED-2023-05113,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Distribuidora Alfa,Distribuidor,Grande,Campinas,SP,Sudeste,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Distribuidor,4.457,0.0,21.026,3,93.71,90.9,51.54,39.36,4.04,86.26
2023-01-05,2023,1,January,1,PED-2023-04764,LAT-002,Iogurte Natural 170g,Laticínios,Iogurte,CX12,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sudeste,Sudeste,Sudeste,Distribuidor,25.838,0.0,34.4097,0,889.08,889.08,515.67,373.41,24.907,823.37
2023-01-05,2023,1,January,1,PED-2023-05912,SNK-001,Batata Chips 100g,Snacks,Salgados,CX24,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Distribuidor,18.963,0.0,76.2388,5,1445.72,1373.43,693.95,679.48,17.898,1303.74
2023-01-06,2023,1,January,1,PED-2023-03182,GRA-002,Feijão Carioca 1kg,Grãos,Feijão,SC,Rede Hiper Sul,Varejo,Grande,Porto Alegre,RS,Sul,Equipe Sul,Sul,Sul,Distribuidor,6.315,0.0,10.1822,2,64.3,63.01,33.44,29.57,5.829,65.77
2023-01-06,2023,1,January,1,PED-2023-05438,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Rede Hiper Sul,Varejo,Grande,Porto Alegre,RS,Sul,Equipe Sudeste,Sudeste,Sudeste,Televendas,15.324,0.0,26.9643,3,413.2,400.8,185.94,214.86,17.416,390.44
2023-01-06,2023,1,January,1,PED-2023-01992,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Televendas,35.514,1.776,23.0612,2,819.0,802.62,450.45,352.17,37.87,914.29
2023-01-06,2023,1,January,1,PED-2023-07095,GRA-002,Feijão Carioca 1kg,Grãos,Feijão,SC,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Distribuidor,14.181,0.0,9.419,0,133.57,133.57,69.46,64.11,14.773,122.85
2023-01-06,2023,1,January,1,PED-2023-05268,SNK-003,Biscoito Cream Cracker,Snacks,Biscoitos,CX30,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe CO,Centro-Oeste,Centro-Oeste,Direto,11.892,0.0,62.4671,3,742.86,720.57,326.86,393.71,13.211,748.2
2023-01-06,2023,1,January,1,PED-2023-02604,SNK-001,Batata Chips 100g,Snacks,Salgados,CX24,Restaurantes União,Food Service,Grande,Belo Horizonte,MG,Sudeste,Equipe CO,Centro-Oeste,Centro-Oeste,Distribuidor,29.7,0.0,78.2769,0,2324.82,2324.82,1115.91,1208.91,28.168,2384.27
2023-01-06,2023,1,January,1,PED-2023-00610,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Direto,8.202,0.0,40.1058,2,328.95,322.37,171.05,151.32,7.712,343.03
2023-01-06,2023,1,January,1,PED-2023-05770,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Rede Hiper Sul,Varejo,Grande,Porto Alegre,RS,Sul,Equipe CO,Centro-Oeste,Centro-Oeste,E-commerce,9.751,0.0,22.8977,0,223.28,223.28,122.8,100.48,10.961,232.04
2023-01-06,2023,1,January,1,PED-2023-05837,LAT-002,Iogurte Natural 170g,Laticínios,Iogurte,CX12,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sul,Sul,Sul,Direto,4.036,0.0,35.0335,2,141.4,138.57,82.01,56.56,3.771,153.27
2023-01-07,2023,1,January,1,PED-2023-03016,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Direto,3.322,0.0,22.8068,0,75.76,75.76,41.67,34.09,3.286,77.48
2023-01-07,2023,1,January,1,PED-2023-05996,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Direto,5.243,0.0,18.0107,3,94.43,91.6,35.88,55.72,5.15,105.01
2023-01-07,2023,1,January,1,PED-2023-03038,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe CO,Centro-Oeste,Centro-Oeste,E-commerce,5.221,0.0,43.3958,7,226.57,210.71,117.82,92.89,5.127,210.74
2023-01-07,2023,1,January,1,PED-2023-07109,SNK-003,Biscoito Cream Cracker,Snacks,Biscoitos,CX30,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Televendas,15.307,0.0,71.0294,3,1087.25,1054.63,478.39,576.24,14.238,1086.47
2023-01-07,2023,1,January,1,PED-2023-06610,LAT-002,Iogurte Natural 170g,Laticínios,Iogurte,CX12,Supermercado Econômico,Varejo,Médio,Londrina,PR,Sul,Equipe CO,Centro-Oeste,Centro-Oeste,Televendas,6.112,0.0,31.8934,7,194.93,181.28,113.06,68.22,6.562,167.08
2023-01-07,2023,1,January,1,PED-2023-05396,GRA-001,Arroz Parboilizado 5kg,Grãos,Arroz,SC,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sul,Sul,Sul,Distribuidor,11.851,0.0,22.173,0,262.77,262.77,144.52,118.25,12.586,300.05
2023-01-07,2023,1,January,1,PED-2023-07235,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Distribuidora Norte Ltda,Distribuidor,Médio,Belém,PA,Norte,Equipe CO,Centro-Oeste,Centro-Oeste,Direto,9.388,0.0,28.4262,0,266.86,266.86,120.09,146.77,9.737,292.94
2023-01-07,2023,1,January,1,PED-2023-03246,LAT-003,Queijo Mussarela KG,Laticínios,Queijos,UN,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe CO,Centro-Oeste,Centro-Oeste,Televendas,24.96,0.0,35.0812,5,875.63,831.85,542.89,288.96,25.903,950.29
2023-01-07,2023,1,January,1,PED-2023-01615,GRA-002,Feijão Carioca 1kg,Grãos,Feijão,SC,Rede Hiper Sul,Varejo,Grande,Porto Alegre,RS,Sul,Equipe Sudeste,Sudeste,Sudeste,Televendas,27.917,0.0,9.0704,2,253.22,248.16,131.67,116.49,27.9,262.11
2023-01-07,2023,1,January,1,PED-2023-05631,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Direto,15.339,0.0,19.7709,3,303.27,294.17,115.24,178.93,16.062,277.98
2023-01-07,2023,1,January,1,PED-2023-00032,LAT-001,Leite Integral UHT 1L,Laticínios,Leite,CX12,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sul,Sul,Sul,Direto,22.686,0.0,39.7087,2,900.83,882.81,585.54,297.27,24.535,992.52
2023-01-07,2023,1,January,1,PED-2023-02679,LAT-001,Leite Integral UHT 1L,Laticínios,Leite,CX12,Distribuidora Alfa,Distribuidor,Grande,Campinas,SP,Sudeste,Equipe Sul,Sul,Sul,Distribuidor,15.812,0.0,38.4751,2,608.37,596.2,395.44,200.76,15.952,547.54
2023-01-07,2023,1,January,1,PED-2023-03949,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Atacadão Centro-Oeste,Atacado,Grande,Goiânia,GO,Centro-Oeste,Equipe Sul,Sul,Sul,Distribuidor,10.687,0.0,27.8089,0,297.19,297.19,133.74,163.45,11.64,318.79
2023-01-07,2023,1,January,1,PED-2023-00683,SNK-003,Biscoito Cream Cracker,Snacks,Biscoitos,CX30,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Televendas,11.644,0.233,62.9624,7,733.13,681.81,322.58,359.23,10.995,736.71
2023-01-09,2023,1,January,1,PED-2023-03721,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Distribuidora Norte Ltda,Distribuidor,Médio,Belém,PA,Norte,Equipe Sudeste,Sudeste,Sudeste,E-commerce,5.199,0.0,28.2644,3,146.95,142.54,66.13,76.41,5.342,162.83
2023-01-09,2023,1,January,1,PED-2023-05352,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Cash & Carry Nordeste,Atacado,Médio,Salvador,BA,Nordeste,Equipe Sudeste,Sudeste,Sudeste,E-commerce,55.817,0.0,39.9655,7,2230.75,2074.6,1159.99,914.61,60.299,2083.17
2023-01-09,2023,1,January,1,PED-2023-05772,LAT-003,Queijo Mussarela KG,Laticínios,Queijos,UN,Restaurantes União,Food Service,Grande,Belo Horizonte,MG,Sudeste,Equipe CO,Centro-Oeste,Centro-Oeste,E-commerce,28.544,0.0,37.5541,5,1071.94,1018.34,664.6,353.74,27.696,1026.5
2023-01-09,2023,1,January,1,PED-2023-03933,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Food Service Express,Food Service,Médio,Rio de Janeiro,RJ,Sudeste,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Direto,15.377,0.0,18.0747,5,277.93,264.03,105.61,158.42,14.225,278.85
2023-01-09,2023,1,January,1,PED-2023-00391,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Restaurantes União,Food Service,Grande,Belo Horizonte,MG,Sudeste,Equipe Sudeste,Sudeste,Sudeste,Televendas,5.44,0.0,42.6975,3,232.27,225.3,120.78,104.52,5.442,258.75
2023-01-09,2023,1,January,1,PED-2023-01298,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Rede Hiper Sul,Varejo,Grande,Porto Alegre,RS,Sul,Equipe Norte/NE,Norte/Nordeste,Norte/Nordeste,Direto,14.059,0.0,17.442,2,245.22,240.32,93.18,147.14,13.976,238.11
2023-01-09,2023,1,January,1,PED-2023-05777,LAT-003,Queijo Mussarela KG,Laticínios,Queijos,UN,Supermercado Econômico,Varejo,Médio,Londrina,PR,Sul,Equipe CO,Centro-Oeste,Centro-Oeste,Direto,46.939,0.0,37.5495,7,1762.54,1639.16,1092.77,546.39,42.657,1672.47
2023-01-09,2023,1,January,1,PED-2023-07628,BEV-003,Refrigerante Cola 2L,Bebidas,Refrigerantes,CX6,Mercearia São João,Varejo,Pequeno,Florianópolis,SC,Sul,Equipe Sul,Sul,Sul,Direto,15.037,0.0,29.6596,3,445.99,432.61,200.7,231.91,14.269,424.94
2023-01-09,2023,1,January,1,PED-2023-01674,BEV-001,Suco de Laranja 1L,Bebidas,Sucos,CX12,Mercearia São João,Varejo,Pequeno,Florianópolis,SC,Sul,Equipe CO,Centro-Oeste,Centro-Oeste,E-commerce,23.622,0.0,43.4032,2,1025.27,1004.76,533.14,471.62,25.08,1028.4
2023-01-09,2023,1,January,1,PED-2023-07553,SNK-001,Batata Chips 100g,Snacks,Salgados,CX24,Grupo Varejo NE,Varejo,Grande,Recife,PE,Nordeste,Equipe Sudeste,Sudeste,Sudeste,Direto,6.606,0.0,68.8523,7,454.84,423.0,218.32,204.68,7.045,383.97
2023-01-09,2023,1,January,1,PED-2023-06255,BEV-002,Água Mineral 500ml,Bebidas,Água,CX24,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sul,Sul,Sul,E-commerce,8.584,0.0,17.9254,5,153.87,146.18,58.47,87.71,8.121,153.41
2023-01-09,2023,1,January,1,PED-2023-04602,LAT-003,Queijo Mussarela KG,Laticínios,Queijos,UN,Mercearia São João,Varejo,Pequeno,Florianópolis,SC,Sul,Equipe Sul,Sul,Sul,Distribuidor,4.272,0.0,34.4084,5,146.99,139.64,91.13,48.51,4.022,143.25
2023-01-09,2023,1,January,1,PED-2023-06321,SNK-002,Amendoim Torrado 200g,Snacks,Nuts,CX20,Distribuidora Alfa,Distribuidor,Grande,Campinas,SP,Sudeste,Equipe CO,Centro-Oeste,Centro-Oeste,Direto,5.888,0.0,61.124,3,359.9,349.1,151.16,197.94,6.174,366.19
2023-01-09,2023,1,January,1,PED-2023-03695,SNK-001,Batata Chips 100g,Snacks,Salgados,CX24,Supermercado Boa Sorte,Varejo,Médio,Curitiba,PR,Sul,Equipe Sul,Sul,Sul,Distribuidor,16.895,0.0,70.2111,3,1186.22,1150.63,569.39,581.24,16.353,1248.65
2023-01-09,2023,1,January,1,PED-2023-07811,PAD-001,Macarrão Espaguete 500g,Padaria/Massas,Massas,CX20,Distribuidora Norte Ltda,Distribuidor,Médio,Belém,PA,Norte,Equipe Sul,Sul,Sul,Distribuidor,20.44,0.0,47.886,2,978.79,959.21,469.82,489.39,21.665,1071.46
2023-01-09,2023,1,January,1,PED-2023-06265,PAD-001,Macarrão Espaguete 500g,Padaria/Massas,Massas,CX20,Distribuidora Alfa,Distribuidor,Grande,Campinas,SP,Sudeste,Equipe CO,Centro-Oeste,Centro-Oeste,Direto,4.692,0.0,46.4284,0,217.84,217.84,104.56,113.28,4.819,222.67
2023-01-09,2023,1,January,1,PED-2023-02400,LAT-001,Leite Integral UHT 1L,Laticínios,Leite,CX12,Mercearia São João,Varejo,Pequeno,Florianópolis,SC,Sul,Equipe Sudeste,Sudeste,Sudeste,Distribuidor,13.583,0.0,39.9231,0,542.28,542.28,352.48,189.8,12.282,508.61
